,STATE,VE_TOTAL,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,DAY_WEEK,ROUTE,MAN_COLL,RELJCT1,RELJCT2,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER,FATALS,DRUNK_DR,HARM_EV_RED,HR_RANGE
1,1,1,0,0,0,1,1,5,3,0,0,1,0,4,2,1,1,1,1,1
2,1,1,0,0,0,1,1,5,1,0,0,1,0,3,2,10,1,0,5,6
3,1,1,0,0,0,2,2,5,2,0,0,1,0,4,2,1,1,1,6,1
4,1,1,0,0,0,1,1,1,3,0,0,1,0,4,2,10,1,1,6,1
5,1,2,0,0,0,2,2,4,2,6,0,2,0,1,1,1,1,0,1,2
6,1,1,0,0,0,2,2,5,4,0,0,1,0,4,1,1,1,0,0,3
7,1,1,0,0,0,2,2,5,2,0,0,1,0,4,3,1,1,0,0,5
8,1,1,0,1,1,1,1,7,6,0,0,1,0,1,2,2,1,0,3,6
9,1,1,0,0,0,1,1,3,2,0,0,1,0,4,1,10,1,0,0,3
10,1,2,0,0,0,2,2,2,3,2,0,1,0,1,2,1,1,0,1,5
11,1,2,0,0,0,2,2,4,3,7,0,1,0,1,2,1,1,0,1,6
12,1,3,0,0,0,6,6,6,2,6,0,1,0,1,1,1,1,0,1,2
13,1,1,0,0,0,1,1,7,4,0,0,1,0,1,1,1,1,1,0,3
14,1,1,0,0,0,1,1,1,2,0,0,1,0,4,1,10,1,1,0,2
15,1,1,0,0,0,1,1,1,4,0,0,1,0,4,1,1,1,0,0,3
16,1,2,0,0,0,2,2,3,3,6,0,8,0,1,3,10,1,0,1,5
17,1,1,0,0,0,1,1,4,4,0,0,1,0,4,1,10,1,0,6,4
18,1,1,0,0,0,2,2,6,4,0,0,1,0,4,2,1,1,1,6,5
19,1,1,0,0,0,1,1,2,4,0,0,1,0,1,2,1,1,0,0,1
20,1,2,0,0,0,3,3,5,6,6,0,2,0,1,2,2,1,0,1,5
21,1,2,0,0,0,4,4,6,1,1,0,1,0,1,1,2,1,0,1,4
22,1,1,0,0,0,2,2,2,1,0,0,1,0,3,2,1,1,0,6,2
23,1,1,0,0,0,1,1,2,3,0,0,1,0,4,2,5,1,1,6,6
24,1,1,0,0,0,1,1,6,4,0,0,1,0,5,4,1,1,0,6,2
25,1,1,0,0,0,2,2,5,4,0,0,1,0,4,2,1,2,1,6,1
26,1,1,0,0,0,1,1,3,6,0,0,3,0,4,1,10,1,0,5,4
27,1,2,0,0,0,3,3,7,4,6,0,2,0,1,1,1,1,0,1,4
28,1,1,0,0,0,1,1,7,3,0,0,1,0,4,2,1,1,1,0,1
29,1,1,0,0,0,1,1,6,2,0,0,3,0,4,2,2,1,0,5,2
30,1,2,0,0,0,5,5,7,3,2,0,1,0,1,1,1,5,0,1,4
31,1,1,0,1,1,1,1,7,4,0,0,2,0,1,5,1,1,0,3,5
32,1,1,0,0,0,1,1,1,4,0,0,1,0,4,4,1,1,1,5,2
33,1,1,0,0,0,2,2,6,6,0,0,1,0,4,3,2,2,1,6,6
34,1,6,0,0,0,10,10,5,2,1,0,3,0,1,1,10,1,1,1,4
35,1,2,0,0,0,2,2,4,2,6,0,2,0,1,1,1,1,0,1,3
36,1,2,0,0,0,5,5,2,2,6,0,1,0,1,1,1,2,0,1,4
37,1,1,0,0,0,1,1,2,4,0,0,1,0,5,1,1,1,0,6,4
38,1,1,0,0,0,1,1,3,6,0,0,1,0,6,1,1,1,0,6,5
39,1,1,0,0,0,1,1,5,3,0,0,1,0,4,2,1,1,1,5,1
40,1,1,0,1,1,1,1,3,6,0,0,1,1,1,1,1,1,0,3,4
41,1,1,0,0,0,1,1,4,4,0,0,1,0,1,2,1,1,1,6,6
